ENSMUSG00000018574	P50544	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000030987	P70302	SUBUNIT: Forms homooligomers and heterooligomers with STIM2. Interacts (via the transmembrane region and the SOAR/CAD domain) with SPPL3; the interaction promotes the binding of STIM1 to ORAI1. Interacts with ORAI1. Interacts with MAPRE1; probably required for targeting to the growing microtubule plus ends. Interacts with CRACR2A/EFCAB4B; the interaction is direct and takes place in absence of Ca(2+). Forms a complex with CRACR2A/EFCAB4B and ORAI1 at low concentration of Ca(2+), the complex dissociates at elevated Ca(2+) concentrations. Interacts with SARAF, promoting a slow inactivation of STIM1-dependent SOCE activity, possibly by facilitating the deoligomerization of STIM1. Interacts with ASPH. Interacts with SLC35G1; intracellular Ca(2+)-dependent. May interact with ATP1A1, ATP2A2, ATP2B1, ATP2B4, KPNB1 and XPO1; through SLC35G1. Interacts with TMEM203. Interacts with TMEM110/STIMATE, promoting STIM1 conformational switch (By similarity). Interacts with TMEM178A (PubMed:26644563). {ECO:0000250|UniProtKB:Q13586, ECO:0000269|PubMed:26644563}.
ENSMUSG00000024006	Q91VJ4	SUBUNIT: Homodimeric S100B binds two molecules of STK38. Component of the MLL5-L complex, at least composed of KMT2E/MLL5, STK38, PPP1CA, PPP1CB, PPP1CC, HCFC1, ACTB and OGT. Interacts with MOB1 and MOB2 (By similarity). Interacts with MAP3K1 and MAP3K2 (via the kinase catalytic domain) (By similarity). Forms a tripartite complex with MOBKL1B and STK3/MST2 (By similarity). Interacts with MICAL1; leading to inhibit the protein kinase activity by antagonizing activation by MST1/STK4. {ECO:0000250, ECO:0000269|PubMed:21730291}.
ENSMUSG00000027744	Q6PE84	SUBUNIT: Homodimer. Interacts with PIEZO1 and PIEZO2. {ECO:0000269|PubMed:24662763}.
ENSMUSG00000028455	Q99JB2	SUBUNIT: Forms homooligomers (By similarity). Interacts with MFN2; may form heterooligomers (By similarity). Interacts with PHB and PHB2; recruits them to cardiolipin-enriched mitochondrial membranes and stabilizes them (By similarity). Interacts with CACNA2D2. {ECO:0000250, ECO:0000269|PubMed:16928863}.
ENSMUSG00000025231	Q9Z0P7	SUBUNIT: Interacts with ULK3; inactivating the protein kinase activity of ULK3. Interacts with RAB23 (By similarity). May form homodimers. Part of a DNA-bound corepressor complex containing SAP18, GLI1 and SIN3 (PubMed:11960000). Part of a complex containing CTNNB1 (PubMed:11477086). Binds BTRC, GLI2, GLI3, SAP18 and STK36. Binds both free and DNA-bound GLI1 (PubMed:10531011). Interacts with KIF7. Interacts with GLI3FL and this interaction regulates the formation of either repressor or activator forms of GLI3. Its association with GLI3FL is regulated by Hh signaling and dissociation of the SUFU-GLI3 interaction requires the presence of the ciliary motor KIF3A. {ECO:0000250|UniProtKB:Q9UMX1, ECO:0000269|PubMed:10531011, ECO:0000269|PubMed:11477086, ECO:0000269|PubMed:11960000, ECO:0000269|PubMed:19592253, ECO:0000269|PubMed:20360384, ECO:0000269|PubMed:23034632}.
ENSMUSG00000029911	Q9CYR0	SUBUNIT: Homotetramer. Interacts with MPG/AAG, through inhibition of its glycosylase activity it potentially prevents formation of DNA breaks in ssDNA, ensuring that base removal primarily occurs in dsDNA. {ECO:0000250}.
ENSMUSG00000018167	Q61542	SUBUNIT: Can form homodimers. Interacts with STARD3NL (By similarity). {ECO:0000250}.
ENSMUSG00000006526	Q3UF25	SUBUNIT: Homooligomer. Interacts with STIM1. {ECO:0000250|UniProtKB:Q86TL2}.
ENSMUSG00000026880	P54116	SUBUNIT: Interacts with LANCL1. Interacts with SLC2A1 and SLC4A1. Identified in large complexes with SLC40A1, SLC14A1, SLC29A1 and AQP1 (By similarity). Homodimer and higher order homooligomers. The homodimer is banana-shaped. Interacts with ASIC1, ASIC2 and ASIC3. {ECO:0000250, ECO:0000269|PubMed:15471860, ECO:0000269|PubMed:22850675}.
ENSMUSG00000020079	Q80YD1	SUBUNIT: Homodimer; in free form. Component of the mitochondrial degradosome (mtEXO) complex which is a heteropentamer containing 2 copies of SUPV3L1 and 3 copies of PNPT1. Interacts with LAMTOR5/HBXIP, WRN and BLM (By similarity). {ECO:0000250}.
ENSMUSG00000026356	Q922B2	SUBUNIT: Homodimer; also part of a multisubunit complex that groups AIMP1, AIMP2, EEF1A1 and tRNA ligases for Arg, Asp, Glu, Gln, Ile, Leu, Lys, Met and Pro.
ENSMUSG00000026709	Q8BIP0	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000001630	Q7TSE6	SUBUNIT: Homodimeric S100B binds two molecules of STK38L. Interacts with MOB1 and MOB2 (By similarity). Interacts with MICAL1; leading to inhibit the protein kinase activity by antagonizing activation by MST1/STK4. {ECO:0000250, ECO:0000269|PubMed:21730291}.
ENSMUSG00000002147	P52633	SUBUNIT: Forms a homodimer or a heterodimer with a related family member. Interacts with NCOA1 via its C-terminal LXXLL motif (By similarity). {ECO:0000250}.
ENSMUSG00000031112	Q99JT2	SUBUNIT: Homodimer. Interacts with PDCD10 and GOLGA2. Interacts with CTTNBP2NL. {ECO:0000250|UniProtKB:Q9P289}.
ENSMUSG00000030101	Q8R0F3	SUBUNIT: Monomer, homodimer and heterodimer with SUMF2. {ECO:0000250}.
ENSMUSG00000025538	Q8BPG6	SUBUNIT: Homodimer and heterodimer with SUMF1. {ECO:0000250}.
ENSMUSG00000003824	Q505B8	SUBUNIT: Homodimer. Found in a complex with SYCP1 and SYCE1. Interacts with SYCP1, SYCE1 and SYCE3. {ECO:0000269|PubMed:15944401, ECO:0000269|PubMed:21637789}.
ENSMUSG00000029777	Q9CZD3	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000031948	Q99MN1	SUBUNIT: Homodimer (By similarity); also part of a multisubunit complex that groups AIMP1, AIMP2, EEF1A1 and tRNA ligases for Arg, Asp, Glu, Gln, Ile, Leu, Lys, Met and Pro. Interacts with AIMP2 (via N-terminus) and MITF. {ECO:0000250, ECO:0000269|PubMed:14975237}.
ENSMUSG00000026277	Q9Z2W1	SUBUNIT: Homodimer. Interacts with CTTNBP2NL. {ECO:0000250}.
ENSMUSG00000018995	Q8BGV0	SUBUNIT: Homodimer. {ECO:0000250|UniProtKB:Q96I59}.
ENSMUSG00000025480	Q9D495	SUBUNIT: Homodimer. Found in a complex with SYCP1 and SYCE2. Interacts with SYCP1, SYCE2 and SYCE3. {ECO:0000269|PubMed:15944401, ECO:0000269|PubMed:21637789}.
ENSMUSG00000037217	O88935	SUBUNIT: Homodimer. Interacts with CAPON. Forms a ternary complex with NOS1 (By similarity). Isoform Ib interacts with PRNP. {ECO:0000250, ECO:0000269|PubMed:11571277}.
ENSMUSG00000068739	P26638	SUBUNIT: Homodimer. The tRNA molecule binds across the dimer (By similarity). {ECO:0000250}.
ENSMUSG00000070699	Q9JJL8	SUBUNIT: Homodimer. The tRNA molecule binds across the dimer (By similarity). {ECO:0000250}.
ENSMUSG00000078938	B5KM66	SUBUNIT: Homodimer (PubMed:25394919). Interacts with SYCE1 (PubMed:21637789, PubMed:25394919). Interacts with SYCE2 (PubMed:21637789). {ECO:0000269|PubMed:21637789, ECO:0000269|PubMed:25394919}.
ENSMUSG00000027855	Q62209	SUBUNIT: Homodimer (By similarity). Component of synaptonemal complexes (PubMed:15937223, PubMed:16717126, PubMed:22761579). Found in a complex with SYCE1 and SYCE2. Interacts with SYCE1 and SYCE2 (PubMed:15944401). {ECO:0000250|UniProtKB:Q15431, ECO:0000269|PubMed:15937223, ECO:0000269|PubMed:15944401, ECO:0000269|PubMed:16717126, ECO:0000269|PubMed:22761579}.
ENSMUSG00000049303	Q920N7	SUBUNIT: Homodimer. Can also form heterodimers (By similarity). {ECO:0000250}.
ENSMUSG00000022241	Q9D0R2	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000084174	Q8VCK7	SUBUNIT: Monomer and homooligomer; most probably hexameric. Interacts with GP2 (By similarity). {ECO:0000250}.
ENSMUSG00000031144	Q62277	SUBUNIT: Homohexamer or homotetramer. Interacts with SRCIN1 (By similarity). {ECO:0000250}.
ENSMUSG00000016200	Q7TN84	SUBUNIT: Homodimer. Can also form heterodimers (By similarity). {ECO:0000250}.
ENSMUSG00000062542	Q9R0N9	SUBUNIT: Homodimer; disulfide-linked via the cysteine motif (PubMed:10531343). Can also form heterodimers with SYT3, SYT6, SYT7 and SYT10 (PubMed:10531343, PubMed:10531344, PubMed:10871604). {ECO:0000269|PubMed:10531343, ECO:0000269|PubMed:10531344, ECO:0000269|PubMed:10871604}.
ENSMUSG00000031431	Q9Z2S7	SUBUNIT: Can form homodimers, however it is likely to function as a monomer. Interacts with AP1 and NFKB1 (By similarity). Isoform 1 and isoform 4 interact with MYOD1. Isoform 1 interacts with HDAC1; this interaction affects HDAC1 activity on MYOG promoter and thus inhibits MYOD1 transcriptional activity. {ECO:0000250, ECO:0000269|PubMed:11397794, ECO:0000269|PubMed:20124407}.
ENSMUSG00000019143	Q99KK9	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000022657	Q3U0X8	SUBUNIT: Homodimer; disulfide-linked. Interacts with PVR (By similarity). {ECO:0000250}.
ENSMUSG00000064289	P70347	SUBUNIT: Homodimer. Interacts with TBK1 and IKBKE. Interacts also with TRAF1, TRAF2, and TRAF3 by binding to their TRAF-C domains; the interaction with TRAF2 is disrupted by the phosphorylation of TANK by IKBKE. Interacts more strongly with TRAF1 and TRAF2 than TRAF3. Interacts with IKBKG; the interaction is enhanced by IKBKE and TBK1. Part of a ternary complex consisting of TANK, IKBKB and IKBKG. {ECO:0000269|PubMed:12133833}.
ENSMUSG00000031098	Q9R0N6	SUBUNIT: Homodimer or homooligomer. Homodimerization and homooligomerization do not depend on Ca(2+). Interacts with SYNCRIP isoform 2 C-terminus. Binds inositol 1,3,4,5-tetrakisphosphate (IP4). Binds to AP2 in a Ca(2+)-independent manner. Interacts with STX1A, STX1B and STX2; the interaction is Ca(2+)-dependent. {ECO:0000269|PubMed:10734137, ECO:0000269|PubMed:15774481, ECO:0000269|PubMed:7791877, ECO:0000269|PubMed:9575177}.
ENSMUSG00000019718	Q9CXA2	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000041459	Q921F2	SUBUNIT: Homodimer. Interacts with BRDT (PubMed:22570411). Binds specifically to pyrimidine-rich motifs of TAR DNA and to single stranded TG repeated sequences. Binds to RNA, specifically to UG repeated sequences with a minimun of six contiguous repeats. Interacts with ATNX2; the interaction is RNA-dependent. Interacts with MATR3. Interacts with UBQLN2. Interacts with HNRNPA2B1 (By similarity). {ECO:0000250|UniProtKB:Q13148, ECO:0000269|PubMed:22570411}.
ENSMUSG00000035864	P46096	SUBUNIT: Homotetramer (Probable). Interacts with SCAMP5, STON2, SV2A, SV2B, SV2C and RIMS1 (By similarity). Forms a complex with SV2B, syntaxin 1 and SNAP25. {ECO:0000250, ECO:0000269|PubMed:15466855, ECO:0000305}.
ENSMUSG00000024743	Q9R0N7	SUBUNIT: Homodimer (PubMed:10871604). Can also form heterodimers with SYT6, SYT9 and SYT10 (PubMed:10871604). Interacts with calmodulin (CALM1, CALM2 or CALM3) (PubMed:24569478). Interacts with CD63; required for localization to lysosomes (PubMed:21041449). {ECO:0000269|PubMed:10871604, ECO:0000269|PubMed:21041449, ECO:0000269|PubMed:24569478}.
ENSMUSG00000059981	Q6ZQ29	SUBUNIT: Interacts with MAP2K3 and MAP2K6 (By similarity). Self-associates. Interacts with tubulins. Interacts with MAP3K7 and interfers with MAP3K7-binding to CHUK and thus prevents NF-kappa-B activation (By similarity). Isoform 2 interacts with PCDH8; this complex may also include CDH2 (By similarity). {ECO:0000250}.
ENSMUSG00000041359	P56280	SUBUNIT: Homodimer. Interacts with AKT1, AKT2 and AKT3 (via PH domain). Interacts with PNPT1; the interaction has no effect on PNPT1 exonuclease activity (By similarity). {ECO:0000250}.
ENSMUSG00000074736	A2ANU3	SUBUNIT: Homodimer. Interacts with GRIA1 and GRIA2. {ECO:0000269|PubMed:20152115}.
ENSMUSG00000041479	Q8C6N3	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000029723	Q9EQN3	SUBUNIT: Forms a homodimer or heterodimer. Can form a heterodimer with TSC22D1 (By similarity). {ECO:0000250}.
ENSMUSG00000017291	Q5F2E8	SUBUNIT: Self-associates. Interacts with MAP2K3. Interacts with SPRED1 and TESK1. Interacts with MAP3K7 (By similarity). {ECO:0000250}.
ENSMUSG00000004535	Q3UKC1	SUBUNIT: Homooligomer. Interacts with TRAF6 in a IL-1-dependent manner. Interacts with STARD13 (By similarity). Interacts with TNFAIP3. {ECO:0000250, ECO:0000269|PubMed:10435631}.
ENSMUSG00000024979	O08524	SUBUNIT: May form homomeric filament after self-association or heteromeric filament after association with alpha-tectorin.
ENSMUSG00000028364	Q80YX1	SUBUNIT: Homohexamer; disulfide-linked. A homotrimer may be formed in the triple coiled-coil region and may be stabilized by disulfide rings at both ends. Two of such half-hexabrachions may be disulfide linked within the central globule. Interacts with CSPG4 (By similarity). {ECO:0000250|UniProtKB:P24821}.
ENSMUSG00000063260	Q9R0N4	SUBUNIT: Homodimer; disulfide-linked via the cysteine motif (PubMed:10531343). Can also form heterodimers with SYT3, SYT6, SYT7 and SYT9 (PubMed:10531343, PubMed:10531344, PubMed:10871604). {ECO:0000269|PubMed:10531343, ECO:0000269|PubMed:10531344, ECO:0000269|PubMed:10871604}.
ENSMUSG00000068923	Q9R0N3	SUBUNIT: Homodimer. Can also form heterodimers. Interacts with PARK2 (By similarity). {ECO:0000250}.
ENSMUSG00000004961	Q9R0N5	SUBUNIT: Homodimer (By similarity). Interacts with both alpha- and beta-tubulin (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:P47861}.
ENSMUSG00000022792	Q8BYL4	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000020115	Q9WUN2	SUBUNIT: Homodimer. Interacts with DDX3X, TIRAP and TRAF2. Part of a ternary complex consisting of TANK, TRAF2 and TBK1. Interacts with AZI2, TANK and TBKBP1; these interactions are mutually exclusive and mediate TBK1 activation. Interacts with GSK3B; this interaction promotes TBK1 self-association and autophosphorylation. Interacts with SIKE1; SIKE1 is associated with TBK1 under physiological condition and dissociated from TBK1 upon viral infection or TLR3 stimulation. Interacts with IRF3 and DDX58/RIG-I. Interacts with CYLD. Interacts with OPTN and TRAF3. Interacts with SRC. Interacts with the exocyst complex subunit SEC5/EXOC2; this interaction is sufficient to trigger TBK1 activity. Interacts with TMEM173/MITA. Interacts with IFIT3 (via N-terminus). Interacts with MAVS only in the presence of IFIT3. Interacts with TICAM1 and this interaction is enhanced in the presence of WDFY1 (By similarity). {ECO:0000250|UniProtKB:Q9UHD2, ECO:0000269|PubMed:23746807}.
ENSMUSG00000056130	Q8BJQ4	SUBUNIT: Homodimer. Interacts with TLR4, TICAM1, IRF3 and IRF7 in response to LPS. Interacts with IL1R1, IL1RAP, IRAK2, IRAK3 and TRAF6. Interacts with kinase-inactive mutants of IRAK1 and IRAK4. Interacts with MYD88; the interaction decreases after IL-18 stimulation in a time-dependent manner. Interacts with IL18R1 and IL18RAP (By similarity). {ECO:0000250}.
ENSMUSG00000034674	P56581	SUBUNIT: Homodimer. Interacts with AICDA and GADD45A (By similarity). {ECO:0000250}.
ENSMUSG00000017299	Q99LB0	SUBUNIT: Monomer and homodimer (By similarity). A minor proportion may form homotrimers (By similarity). Interacts with ZNF541 (PubMed:18849567). Interacts with the terminal deoxynucleotidyltransferase DNTT (By similarity). Interacts with TRERF1 (By similarity). Identified in a histone deacetylase complex that contains DNTTIP1, HDAC1 and ELMSAN1; this complex assembles into a tetramer that contains four copies of each protein chain (By similarity). Component of a histone deacetylase complex containing DNTTIP1, ZNF541, HDAC1 and HDAC2 (By similarity). {ECO:0000250|UniProtKB:Q9H147, ECO:0000269|PubMed:18849567}.
ENSMUSG00000022389	Q9JLC6	SUBUNIT: Binds DNA as a homodimer or a heterodimer. Can form a heterodimer with DBP (By similarity). {ECO:0000250}.
ENSMUSG00000028452	Q01853	SUBUNIT: Homohexamer. Forms a ring-shaped particle of 12.5 nm diameter, that displays 6-fold radial symmetry. Part of a ternary complex containing STX5A, NSFL1C and VCP. NSFL1C forms a homotrimer that binds to one end of a VCP homohexamer. The complex binds to membranes enriched in phosphatidylethanolamine-containing lipids and promotes Golgi membrane fusion. Binds to a heterodimer of NPLOC4 and UFD1L, binding to this heterodimer inhibits Golgi-membrane fusion. Interaction with VCIP135 leads to dissociation of the complex via ATP hydrolysis by VCP. Part of a ternary complex containing NPLOC4, UFD1L and VCP. Interacts with NSFL1C-like protein p37; the complex has membrane fusion activity and is required for Golgi and endoplasmic reticulum biogenesis. Interacts with RNF103. Interacts with TRIM13 and TRIM21. Component of a VCP/p97-AMFR/gp78 complex that participates in the final step of the endoplasmic reticulum-associated degradation (ERAD) of HMGCR. Interacts directly with AMFR/gp78 (via its VIM). Interacts with RHBDD1 (via C-terminal domain). Interacts with SPRTN; leading to recruitment to stalled replication forks. Interacts with SELS/VIMP and SYVN1, as well as with DERL1, DERL2 and DERL3; which probably transfer misfolded proteins from the ER to VCP. Interacts with SVIP. Component of a complex required to couple retrotranslocation, ubiquitination and deglycosylation composed of NGLY1, SAKS1, AMFR, VCP and RAD23B. Directly interacts with UBXN4 and RNF19A. Interacts with CASR. Interacts with UBXN6, UBE4B and YOD1. Interacts with clathrin. Interacts with RNF103. Interacts with TRIM13 and TRIM21. Component of a VCP/p97-AMFR/gp78 complex that participates in the final step of the endoplasmic reticulum-associated degradation (ERAD) of HMGCR. Interacts directly with AMFR/gp78 (via its VIM). Part of a complex which includes CANX, DERL1, DERL2, DDOST/OST48, RPN1, RPN2, SELK, STT3A, VCP AND VIMP. Interacts with KIAA0196. Interacts with UBOX5. Interacts (via N-terminus) with UBXN7, UBXN8, and probably several other UBX domain-containing proteins (via UBX domains); the interactions are mutually exclusive with VIM-dependent interactions such as those with AMFR and VIMP. Forms a complex with UBQLN1 and UBXN4 (By similarity). {ECO:0000250|UniProtKB:P46462, ECO:0000250|UniProtKB:P55072, ECO:0000269|PubMed:15189447, ECO:0000269|PubMed:15456787, ECO:0000269|PubMed:16249333, ECO:0000269|PubMed:16709668, ECO:0000269|PubMed:17141156}.
ENSMUSG00000024029	Q62395	SUBUNIT: Monomer. Homodimer; disulfide-linked. {ECO:0000250}.
ENSMUSG00000025503	Q93092	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000038517	A2A9T0	SUBUNIT: Homodimer. May form a heterodimer with NAP1. Interacts with TKB1 and IKBKE. {ECO:0000269|PubMed:17568778}.
ENSMUSG00000032440	Q62312	SUBUNIT: Homodimer. Heterohexamer; TGFB1, TGFB2 and TGFB3 homodimeric ligands assemble a functional receptor composed of two TGFBR1 and TGFBR2 heterodimers to form a ligand-receptor heterohexamer. The respective affinity of TGFRB1 and TGFRB2 for the ligands may modulate the kinetics of assembly of the receptor and may explain the different biological activities of TGFB1, TGFB2 and TGFB3. Interacts with DAXX. Interacts with TCTEX1D4. Interacts with ZFYVE9; ZFYVE9 recruits SMAD2 and SMAD3 to the TGF-beta receptor (By similarity). Interacts with and is activated by SCUBE3; this interaction does not affect TGFB1-binding to TGFBR2 (By similarity). Interacts with VPS39; this interaction is independent of the receptor kinase activity and of the presence of TGF-beta (By similarity). {ECO:0000250|UniProtKB:P37173}.
ENSMUSG00000028233	Q923W1	SUBUNIT: May form homooligomers. Interacts with CREBBP/CBP, EED/WAIT1, EP300/P300, NCOA6/PRIP, PPARBP/PBP and SMN (By similarity). {ECO:0000250}.
ENSMUSG00000023832	Q8CAY6	SUBUNIT: Homotetramer. {ECO:0000250}.
ENSMUSG00000021266	P32921	SUBUNIT: Homodimer. Interacts with oxidized form of GAPDH (By similarity). {ECO:0000250}.
ENSMUSG00000039886	Q8C1E7	SUBUNIT: Homooligomer and heterooligomer with TMEM120B. {ECO:0000269|PubMed:26024229}.
ENSMUSG00000028011	P48776	SUBUNIT: Homotetramer. {ECO:0000255|HAMAP-Rule:MF_03020}.
ENSMUSG00000033430	Q91VL8	SUBUNIT: Homodimer. Component of the shelterin complex (telosome) composed of TERF1, TERF2, TINF2, TERF2IP ACD and POT1. Binds to TERF2 (but not TERF1) with its C-terminus. Interacts with SLX4/BTBD12 (By similarity). Interacts with TERF2; the interaction is direct. Does not interact with TERF1. Associates with the I-kappa-B-kinase (IKK) core complex, composed of CHUK, IKBKB and IKBKG. {ECO:0000250, ECO:0000269|PubMed:20339076, ECO:0000269|PubMed:20622870}.
ENSMUSG00000023990	Q9R210	SUBUNIT: Homodimer and heterodimer; with TFE3 or MITF. {ECO:0000250}.
ENSMUSG00000007613	Q64729	SUBUNIT: Homodimer; in the endoplasmic reticulum but also at the cell membrane. Heterohexamer; TGFB1, TGFB2 and TGFB3 homodimeric ligands assemble a functional receptor composed of two TGFBR1 and TGFBR2 heterodimers to form a ligand-receptor heterohexamer. The respective affinity of TGBRB1 and TGFBR2 for the ligands may modulate the kinetics of assembly of the receptor and may explain the different biological activities of TGFB1, TGFB2 and TGFB3. Interacts with CD109; inhibits TGF-beta receptor activation in keratinocytes. Interacts with RBPMS. Interacts (unphosphorylated) with FKBP1A; prevents TGFBR1 phosphorylation by TGFBR2 and stabilizes it in the inactive conformation. Interacts with SMAD2, SMAD3 and ZFYVE9; ZFYVE9 recruits SMAD2 and SMAD3 to the TGF-beta receptor. Interacts with TRAF6 and MAP3K7; induces MAP3K7 activation by TRAF6. Interacts with PARD6A; involved in TGF-beta induced epithelial to mesenchymal transition. Interacts with SMAD7, NEDD4L, SMURF1 and SMURF2; SMAD7 recruits NEDD4L, SMURF1 and SMURF2 to the TGF-beta receptor (By similarity). Interacts with USP15 and VPS39. Interacts with SDCBP (via C-terminus). Interacts with CAV1 and this interaction is impaired in the presence of SDCBP (By similarity). {ECO:0000250|UniProtKB:P36897}.
ENSMUSG00000061288	Q8BYC6	SUBUNIT: Self-associates. Interacts with ERN1 and TRAF2. Interaction with TRAF2 is facilitated under ER stress conditions, such as treatment with tunicamycin, and may promote TRAF2 phosphorylation (By similarity). {ECO:0000250}.
ENSMUSG00000051864	Q8R5A6	SUBUNIT: Homodimer. Interacts with ACBD3 and ARFGEF1. Interacts with YWHAB, YWHAE, YWHAG, YWHAH, YWHAQ and YWHAZ. {ECO:0000250|UniProtKB:Q8WUA7}.
ENSMUSG00000047123	Q80UF7	SUBUNIT: Homodimer (By similarity). Interacts with AZI2, IRF3 and IRF7 (By similarity). Interacts with TICAM2 in TLR4 recruitment (By similarity). Interaction with PIAS4 inhibits the TICAM1-induced NF-kappa-B, IRF and IFNB1 activation (By similarity). Interacts with IKBKB and IKBKE (By similarity). Interaction with SARM1 blocks TICAM1-dependent transcription factor activation (By similarity). Interacts with TRAF3. Interacts with TRAFD1. Interacts with UBQLN1 (via UBA domain). Interacts with TBK1, TRAF6 and RIPK1 and these interactions are enhanced in the presence of WDFY1 (By similarity). Interacts (via the TIR domain) with TLR3 in response to poly(I:C) and this interaction is enhanced in the presence of WDFY1 (PubMed:25736436). Interacts with TLR4 in response to poly(I:C) in a WDFY1-dependent manner (PubMed:25736436). Interacts with WDFY1 in response to poly(I:C) (PubMed:25736436). {ECO:0000250|UniProtKB:Q8IUC6, ECO:0000269|PubMed:16306936, ECO:0000269|PubMed:18849341, ECO:0000269|PubMed:25736436}.
ENSMUSG00000020167	P15806	SUBUNIT: Forms a heterodimer with TWIST2. Forms a heterodimer with NEUROD1; the heterodimer is inhibited in presence of ID2, but not NR0B2, to E-box element. Isoform E12 interacts with RALGAPA1 and FIGLA. Interacts with EP300. Efficient DNA binding requires dimerization with another bHLH protein (By similarity). Homodimer. Heterodimer. Forms a heterodimer with MYOG; heterodimerization enhances MYOG DNA-binding and transcriptional activities. Interacts with PTF1A, TGFB1I1 and UBE2I. Component of a nuclear TAL-1 complex composed at least of CBFA2T3, LDB1, TAL1 and TCF3. Interacts with NEUROD2. Interacts with BHLHA9. Forms a heterodimer with ATOH8; repress transcription of TCF3 and TCF3/NEUROG3 dimer-induced transactivation of E box-dependent promoters. {ECO:0000250|UniProtKB:P15923, ECO:0000269|PubMed:11318877, ECO:0000269|PubMed:12196028, ECO:0000269|PubMed:12200424, ECO:0000269|PubMed:16291758, ECO:0000269|PubMed:16407974, ECO:0000269|PubMed:18069799, ECO:0000269|PubMed:18214987, ECO:0000269|PubMed:23938248, ECO:0000269|PubMed:7589808, ECO:0000269|PubMed:9409784}.
ENSMUSG00000029553	Q9WTW4	SUBUNIT: Homodimer. Forms heterodimers with MITF. Interacts with MITF. Forms heterodimers with TFE3 (By similarity). {ECO:0000250}.
ENSMUSG00000026279	Q6P3Z3	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000036880	Q8BWT1	SUBUNIT: Homotetramer. Interacts with BNIP3 (By similarity). {ECO:0000250}.
ENSMUSG00000035686	Q62264	SUBUNIT: Homodimer. Heterodimer with MID1IP1. Interacts with THRB and PLAGL1 (By similarity). {ECO:0000250}.
ENSMUSG00000041852	Q9EPQ8	SUBUNIT: Homodimer (Probable). Interacts with RNF4 and JUN. Binds to the regulatory region of MMP3. {ECO:0000269|PubMed:10849425, ECO:0000269|PubMed:8663478, ECO:0000305}.
ENSMUSG00000037705	O08523	SUBUNIT: May form homomeric filament after self-association or heteromeric filament after association with beta-tectorin. Interacts with CEACAM16 (By similarity). {ECO:0000250}.
ENSMUSG00000016150	Q9WTS4	SUBUNIT: Homodimer; disulfide-linked. Heterodimer with either TENM2 or TENM3. May also form heterodimer with TENM4. Ten-1 ICD interacts with SORBS1 (via third SH3 domain). Interacts with MBD1 isoform 2. {ECO:0000269|PubMed:10225957, ECO:0000269|PubMed:15777793}.
ENSMUSG00000021611	O70372	SUBUNIT: Homodimer; dimerization is required to produce a functional complex. Oligomer; can form oligomers in the absence of the telomerase RNA template component (TERC). Catalytic subunit of the telomerase holoenzyme complex composed minimally of TERT and TERC. The telomerase complex is composed of TERT, DKC1, WDR79/TCAB1, NOP10, NHP2, GAR1, TEP1, EST1A, POT1 and a telomerase RNA template component (TERC). The molecular chaperone HSP90/P23 complex is required for correct assembly and stabilization of the active telomerase. Interacts directly with HSP90A and PTGES3. Interacts with HSPA1A; the interaction occurs in the absence of TERC and dissociates once the complex has formed. Interacts with RAN; the interaction promotes nuclear export of TERT. Interacts with XPO1. Interacts with PTPN11; the interaction retains TERT in the nucleus. Interacts with NCL (via RRM1 and C-terminal RRM4/Arg/Gly-rich domains); the interaction is important for nucleolar localization of TERT. Interacts with SMARCA4 (via the bromodomain); the interaction regulates Wnt-mediated signaling (By similarity). Interacts with MCRS1 (isoform MCRS2); the interaction inhibits in vitro telomerase activity. Interacts with PIF1; the interaction has no effect on the elongation activity of TERT. Interacts with PML; the interaction recruits TERT to PML bodies and inhibits telomerase activity (By similarity). Interacts with GNL3L. Interacts with NVL (By similarity). {ECO:0000250|UniProtKB:O14746, ECO:0000269|PubMed:17130244, ECO:0000269|PubMed:19487455, ECO:0000269|PubMed:19571879}.
ENSMUSG00000010651	Q8VCH0	SUBUNIT: Homodimer. {ECO:0000250}.
ENSMUSG00000028367	P10639	SUBUNIT: Homodimer; disulfide-linked. Interacts with TXNIP through the redox-active site. Interacts with MAP3K5 and CASP3. Interacts with APEX1; the interaction stimulates the FOS/JUN AP-1 DNA-binding activity in a redox-dependent manner (By similarity). {ECO:0000250}.
