Entry	Gene names	Subunit structure [CC]
Q9ERB5	Slco1c1 Oatp1c1 Oatpf Slc21a14	
Q61263	Soat1 Acact	SUBUNIT: May form homo- or heterodimers. Interacts with UBIAD1. {ECO:0000250|UniProtKB:P35610}.
P19324	Serpinh1 Cbp1 Hsp47	
Q80UK0	Sestd1	SUBUNIT: Interacts (via the spectrin 1 repeat) with TRPC4 and TRPC5 (via CIRB domain). Interacts with CTNNB1. {ECO:0000250}.
P58006	Sesn1 Pa26 Sest1	SUBUNIT: Interacts with the GATOR2 complex which is composed of MIOS, SEC13, SEH1L, WDR24 and WDR59; the interaction is negatively regulated by leucine (By similarity). Interacts with RRAGA, RRAGB, RRAGC and RRAGD; may function as a guanine nucleotide dissociation inhibitor for RRAGs and regulate them (PubMed:25259925). Interacts with KEAP1, RBX1 and SQSTM1; in the SQSTM1-dependent autophagic degradation of KEAP1. May interact with PRDX1 (By similarity). {ECO:0000250|UniProtKB:Q9Y6P5, ECO:0000269|PubMed:25259925}.
O88974	Setdb1 Eset Kiaa0067	SUBUNIT: Part of a complex containing at least CDYL, REST, WIZ, SETB1, EHMT1 and EHMT2. During DNA replication, it is recruited by SETDB1 to form a S phase-specific complex that facilitates methylation of H3 'Lys-9' during replication-coupled chromatin assembly and is at least composed of the CAF-1 subunit CHAF1A, MBD1 and SETDB1. Probably part of a corepressor complex containing ZNF304, TRIM28, SETDB1 and DNMT1. Interacts with TRIM28/TIF1B. Interacts with ATF7IP and ATF7IP2; the interaction with ATF7IP is required to stimulate histone methyltransferase activity and facilitate the conversion of dimethylated to trimethylated H3 'Lys-9'. Interacts with MBD1; interaction is abolished when MBD1 is sumoylated. Interacts with CBX1 and CBX5. Interacts with DNMT3A and DNMT3B. Interacts with SUMO2. Interacts with CHD7, NLK1 and PPARG. Interacts with MPHOSPH8 (By similarity). Interacts with ERG (PubMed:11791185). Interacts with HDAC1, HDAC2, SIN3A, SIN3B (PubMed:12398767). Interacts with ATRX. Forms a complex with ATRX, TRIM28 and ZNF274 (By similarity). {ECO:0000250|UniProtKB:Q15047, ECO:0000269|PubMed:11791185, ECO:0000269|PubMed:12398767}.
P58467	Setd4 ORF21	
Q3USH5	Sfswap Sfrs8 Srsf8 Swap	
P82350	Sgca	SUBUNIT: Cross-link to form 2 major subcomplexes: one consisting of SGCB, SGCD and SGCG and the other consisting of SGCB and SGCD. The association between SGCB and SGCG is particularly strong while SGCA is loosely associated with the other sarcoglycans. Interacts with the syntrophin SNTA1. {ECO:0000269|PubMed:7547961, ECO:0000269|PubMed:9864373}.
Q9D413	Sh2d6	
Q7TSG5	Sh3d21	
Q8R550	Sh3kbp1 Ruk Seta	SUBUNIT: Can self-associate and form homotetramers. Interacts with CD2, F-actin capping protein, PIK3R3, GRB2, EGFR, MET, BLNK, MAP3K4, PDCD6IP, SPRY2, ARHGAP17, ARHGAP27, CRK, BCAR1, SOS1, ASAP1, ARAP3, HIP1R, SYNJ2, INPP5D and STAP1 (By similarity). Interacts with CBL (PubMed:21830225). Interacts with CBLB, but does not interact with CBLC. Two molecules of SH3KBP1 seem to bind through their respective SH3 1 domain to one molecule of CBLB. The interaction with CBL or CBLB and EGFR is increased upon EGF stimulation. The interaction with CBL is attenuated by PDCD6IP. Interacts through its proline-rich region with the SH3 domain of endophilins SH3GL1, SH3GL2 and SH3GL3. The SH3KBP1-endophilin complex seems to associate with a complex containing the phosphorylated receptor (EGFR or MET) and phosphorylated CBL. Probably associates with ASAP1 and phosphorylated EGFR. Probably part of a complex consisting of at least SH3KBP1, ASAP1 and ARAP3. Interacts with focal adhesion kinases PTK2/FAK1 AND PTK2B/PYK2, probably as a dimer. Interacts with DAB2 and probably associates with chathrin through its interaction with DAB2. Part of a complex consisting of SH3KBP1, DAB2, and clathrin heavy chain. DAB2 and clathrin dissociate from SH3KBP1 following growth factor treatment, enabling interaction with CBL. Interacts with DDN and probably associates with MAGI2 through its interaction with DDN. Interacts with the SH3 domains of SRC tyrosine-protein kinases SRC, LCK, LYN, FGR, FYN and HCK. Interacts with TRADD, BIRC2, TRAF1, TRAF2 and TNFR1, and the association with a TNFR1-associated complex upon stimulation with TNF-alpha seems to be mediated by SRC. Probably part of a complex consisting of at least SH3KBP1, ASAP1 and ARAP3 (By similarity). Interacts (via SH3 domains) with SHKBP1 (via PXXXPR motifs) (PubMed:11152963, PubMed:21830225). Interacts with ATX2 (PubMed:18602463). Interaction with CBL is abolished in the presence of SHKBP1 (PubMed:21830225). {ECO:0000250|UniProtKB:Q96B97, ECO:0000269|PubMed:11152963, ECO:0000269|PubMed:18602463, ECO:0000269|PubMed:21830225}.
Q80Z38	Shank2 Cortbp1 Kiaa1022	SUBUNIT: Is part of a complex with DLG4/PSD-95 and DLGAP1/GKAP. Interacts with CTTN/cortactin SH3 domain, DLGAP1/GKAP and alpha-latrotoxin receptor 1. Interacts with DNM2, DBNL, GRID2, BAIAP2, SLC9A3, PLCB3 and CFTR. Interacts (via proline-rich region) with PDE4D. Interacts with ABI1 (via SH3 domain). {ECO:0000269|PubMed:15207857, ECO:0000269|PubMed:17244609}.
Q6PD21	Shb	SUBUNIT: Interacts with phosphorylated 'Tyr-720' of the ligand-activated receptor PDGFRA via its SH2 domain. Interacts with the ligand-activated receptors PDGFRB, FGFR1, KDR/VEGFR2, IL2RB and IL2RG. Interacts with EPS8 and V-SRC. Interacts with GRB2 and GRAP. Interacts with CD3Z. Interacts with tyrosine-phosphorylated LAT upon T-cell antigen receptor activation. Interacts with PLCG1. Interacts with ZAP70, LCP2/SLP-76, VAV1 and GRAP2. Interacts with JAK1 and JAK3. Interacts with PTK2/FAK1. Interacts with CRK/CrKII. Interacts with IRS2 (By similarity). Interacts with PTPN11. {ECO:0000250, ECO:0000269|PubMed:12181353}.
Q9D5J6	Shpk Carkl	
Q91WA6	Sharpin Cpdm Sipl1	SUBUNIT: Monomer and homodimer. Component of the LUBAC complex (linear ubiquitin chain assembly complex) which consists of SHARPIN, RBCK1 and RNF31. LUBAC has a MW of approximative 600 kDa suggesting a heteromultimeric assembly of its subunits. Associates with the TNF-R1 signaling complex (TNF-RSC) in a stimulation-dependent manner. Interacts with EYA1, EYA2, SHANK1 and SHANK3 (via ANK repeats). {ECO:0000269|PubMed:20956555}.
Q8QZV2	Shisa2 Shisa Tmem46	
Q8C3Q5	Shisa7	
Q8K4T1	St8sia6 Siat8f	
Q61711	Ibsp	
Q76K27	St6gal2 Kiaa1877	
Q6AXF6	Sidt1	
Q8CIF6	Sidt2	
Q920G3	Siglec5 Siglecf	
Q60670	Sik1 Msk Sik Snf1lk	SUBUNIT: Interacts (when phosphorylated on Thr-182 and Ser-186) with YWHAZ. Interacts with ATP1A1 (By similarity). {ECO:0000250}.
E9Q942	Smim13	
Q61045	Sim1	SUBUNIT: Efficient DNA binding requires dimerization with another bHLH protein. Heterodimer of SIM1 and ARNT. {ECO:0000269|PubMed:9020169}.
Q923E4	Sirt1 Sir2l1	SUBUNIT: Interacts with XBP1 isoform 2 (By similarity). Found in a complex with PCAF and MYOD1 Component of the eNoSC complex, composed of SIRT1, SUV39H1 and RRP8. Interacts with HES1, HEY2 and PML. Interacts with RPS19BP1/AROS. Interacts with CCAR2 (via N-terminus); the interaction disrupts the interaction between SIRT1 and p53/TP53. Interacts with SETD7; the interaction induces the dissociation of SIRT1 from p53/TP53 and increases p53/TP53 activity. Interacts with MYCN, NR1I2, CREBZF, TSC2, TLE1, FOS, JUN, NR0B2, PPARG, NCOR, IRS1, IRS2 and NMNAT1. Interacts with HNF1A; the interaction occurs under nutrient restriction. Interacts with SUZ12; the interaction mediates the association with the PRC4 histone methylation complex which is specific as an association with PCR2 and PCR3 complex variants is not found. Interacts with FOXO1; the interaction deacetylates FOXO1, enhances its DNA-binding ability and increases its transcriptional activity. Interacts with BCL6; leads to a epigenetic repression of specific target genes. Interacts with CLOCK, ARNTL/BMAL1 and PER2. Interacts with PPARA; the interaction seems to be modulated by NAD(+) levels. Interacts with NR1H3 and this interaction is inhibited in the presence of CCAR2. Interacts with CHEK2 and p53/TP53. Exhibits a preferential interaction with sumoylated CCAR2 over its unmodified form (By similarity). {ECO:0000250|UniProtKB:Q96EB6, ECO:0000269|PubMed:11672522, ECO:0000269|PubMed:12887892, ECO:0000269|PubMed:15175761, ECO:0000269|PubMed:15220471, ECO:0000269|PubMed:16269335, ECO:0000269|PubMed:16892051, ECO:0000269|PubMed:17901049, ECO:0000269|PubMed:18662546, ECO:0000269|PubMed:18662547, ECO:0000269|PubMed:19299583, ECO:0000269|PubMed:19356714, ECO:0000269|PubMed:19478080, ECO:0000269|PubMed:20668652, ECO:0000269|PubMed:21176092, ECO:0000269|PubMed:22510882, ECO:0000269|PubMed:23160044}.
P70178	Six5 Dmahp	SUBUNIT: Probably binds DNA dimer. Interacts with EYA3, and probably EYA1 and EYA2. {ECO:0000269|PubMed:10490620, ECO:0000269|PubMed:12215533}.
Q9CZU3	Skiv2l2	SUBUNIT: Component of a TRAMP-like complex, an ATP-dependent exosome regulatory complex consisting of a helicase (SKIV2L2/MTR4), an oligadenylate polymerase (PAPD5 or PAPD7), and a substrate specific RNA-binding factor (ZCCHC7 or ZCCHC8). Several TRAMP-like complexes exist with specific compositions and are associated with nuclear, or nucleolar RNA exosomes. Identified in the spliceosome C complex. Interacts with NVL in an ATP-dependent manner (By similarity). {ECO:0000250|UniProtKB:P42285}.
Q9CR46	Ska2 Fam33a	SUBUNIT: Component of the SKA1 complex, composed of SKA1, SKA2 and SKA3. Forms a heterodimer with SKA1; the heterodimer interacting with SKA3. The core SKA1 complex is composed of 2 SKA1-SKA2 heterodimers, each heterodimer interacting with a molecule of the SKA3 homodimer. The core SKA1 complex associates with microtubules and forms oligomeric assemblies. Interacts directly with SKA1. Binds directly to microtubules; but with a much lower affinity than SKA1 in vivo (By similarity). {ECO:0000250}.
Q8C263	Ska3 Rama1	SUBUNIT: Component of the SKA1 complex, composed of SKA1, SKA2 and SKA3. The core SKA1 complex is composed of 2 SKA1-SKA2 heterodimers, each heterodimer interacting with a molecule of the SKA3 homodimer. The core SKA1 complex associates with microtubules and forms oligomeric assemblies. Interacts with SKA1; the interaction is direct. {ECO:0000250|UniProtKB:Q8IX90}.
Q9D9Z1	Knstrn D2Ertd750e Skap Traf4af1	SUBUNIT: Part of an astrin (SPAG5)-kinastrin (SKAP) complex containing KNSTRN, SPAG5, PLK1, DYNLL1 and SGO2. Interacts with SPAG5. Directly binds to microtubules, although at relatively low affinity. Interacts with CENPE; this interaction greatly favors microtubule-binding. Interacts with DSN1/MIS13; leading to localization to kinetochores. Interacts with MAPRE1/EB1; leading to localization to the microtubule plus ends. Interacts with PRPF19. {ECO:0000250|UniProtKB:Q9Y448}.
A7XUX6	Skint2	
Q61165	Slc9a1 Nhe1	SUBUNIT: Oligomer. Interacts with calmodulin and TESC. Interacts (via the juxtamembrane region of the cytoplasmic C-terminal domain) with CHP1; the interaction occurs at the plasma membrane in a calcium-dependent manner. Interacts with CHP2; the interaction occurs in a calcium-dependent manner (By similarity). {ECO:0000250}.
P16043	Ghrh	
Q9R1B9	Slit2	SUBUNIT: Homodimer. Interacts with GREM1 (By similarity). Binds ROBO1 and ROBO2 with high affinity. {ECO:0000250}.
P97430	Slpi	
Q8BHJ9	Slu7 D11Ertd730e	SUBUNIT: Component of late spliceosomal complexes. Associates with the spliceosome prior to recognition of the 3'-splice site for step II, probably during catalysis of step I (By similarity). {ECO:0000250}.
Q62432	Smad2 Madh2 Madr2	SUBUNIT: Momomer; the absence of TGF-beta. Interacts with ZNF580. Heterodimer; in the presence of TGF-beta. Forms a heterodimer with co-SMAD, SMAD4, in the nucleus to form the transactivation complex SMAD2/SMAD4. Found in a complex with SMAD3 and TRIM33 upon addition of TGF-beta. Interacts with ACVR1B, SMAD3 and TRIM33. Interacts (via the MH2 domain) with ZFYVE9; may form trimers with the SMAD4 co-SMAD. Interacts with FOXH1, homeobox protein TGIF, PEBP2-alpha subunit, CREB-binding protein (CBP), EP300, SKI and SNW1. Interacts with SNON; when phosphorylated at Ser-465/467. Interacts (via PY-motif) with SMURF2. Interacts with SKOR1 and SKOR2. Interacts with PRDM16. Interacts (via MH2 domain) with LEMD3. Interacts with RBPMS. Interacts (dephosphorylated form, via the MH1 and MH2 domains) with RANBP3 (via its C-terminal R domain); the interaction results in the export of dephosphorylated SMAD3 out of the nucleus and termination of the TGF-beta signaling. Interacts with NEDD4L in response to TGF-beta. Interacts with WWP1, AIP1 and HGS. Interacts with PML. Interacts with PDPK1 (via PH domain). Interacts with DAB2; the interactions are enhanced upon TGF-beta stimulation. Interacts with USP15. Interacts with PPP5C. Interacts with LDLRAD4 (via the SMAD interaction motif). Interacts (via MH2 domain) with PMEPA1 (via the SMAD interaction motif). Interacts with ZFHX3 (By similarity). Interacts with ZNF451. Identified in a complex that contains at least ZNF451, SMAD2, SMAD3 and SMAD4 (By similarity). Interacts weakly with ZNF8 (PubMed:12370310). {ECO:0000250|UniProtKB:Q15796, ECO:0000269|PubMed:10681527, ECO:0000269|PubMed:11094085, ECO:0000269|PubMed:12370310, ECO:0000269|PubMed:15221015, ECO:0000269|PubMed:15356634, ECO:0000269|PubMed:15496141, ECO:0000269|PubMed:22781750}.
P97454	Smad5 Madh5 Msmad5	SUBUNIT: May form trimers with the co-SMAD SMAD4. Interacts with PEBP2-alpha subunit and SMURF1. Interacts with SUV39H1 and SUV39H2. Interacts (via MH2 domain) with LEMD3 (By similarity). Interacts with WWP1. Interacts with TMEM119 (PubMed:21239498). Interacts with ZNF8 (PubMed:12370310). {ECO:0000250|UniProtKB:Q99717, ECO:0000269|PubMed:12370310, ECO:0000269|PubMed:15221015, ECO:0000269|PubMed:21239498}.
Q9R0P4	Smap Sid2057	
P40694	Ighmbp2 Smbp-2 Smbp2	SUBUNIT: Homooligomer (By similarity). Interacts with RUVBL1, RUVBL2, GTF3C1 and ABT1 (By similarity). Is part of large cytosolic ribonucleoprotein complexes (Probable). Associates with the ribosomes. {ECO:0000250, ECO:0000269|PubMed:19158098, ECO:0000305}.
Q9JMD1	Sfmbt1	SUBUNIT: Interacts with MYOD1 (By similarity). Component of the SLC (SFMBT1-LSD1-CoREST) corepressor complex, which also contains KDM1A/LSD1 and RCOR1/CoREST. Interacts with KDM1A/LSD1 and RCOR1/CoREST (By similarity). Interacts with MYOD1. {ECO:0000250, ECO:0000269|PubMed:23349461, ECO:0000269|PubMed:23592795}.
Q9CU62	Smc1a Sb1.8 Smc1 Smc1l1 Smcb	SUBUNIT: Interacts with POLE and BRCA1. Interacts with SYCP2. Found in a complex with CDCA5, SMC3 and RAD21, PDS5A/SCC-112 and PDS5B/APRIN. Interacts with NDC80 (By similarity). Forms a heterodimer with SMC3 in cohesin complexes. Cohesin complexes are composed of the SMC1 (SMC1A or SMC1B) and SMC3 heterodimer attached via their hinge domain, RAD21 which link them, and one STAG protein (STAG1, STAG2 or STAG3), which interacts with RAD21. In germ cell cohesin complexes, SMC1A is mutually exclusive with SMC1B. Interacts with RPGR (By similarity). Interacts with BRAT1 (By similarity). {ECO:0000250|UniProtKB:Q14683, ECO:0000269|PubMed:10375619, ECO:0000269|PubMed:11483963}.
Q9CW03	Smc3 Bam Bmh Cspg6 Mmip1 Smc3l1 Smcd	SUBUNIT: Interacts with NUMA1, and forms a ternary complex with KIF3B and KIFAP3, suggesting a function in tethering the chromosomes to the spindle pole and a function in chromosome movement. Interacts with SYCP2. Found in a complex with SMC1A, CDCA5 and RAD21, PDS5A/SCC-112 and PDS5B/APRIN. Interacts with PDS5A and WAPL; regulated by SMC3 acetylation (By similarity). Forms a heterodimer with SMC1A or SMC1B in cohesin complexes. Cohesin complexes are composed of the SMC1 (SMC1A or SMC1B) and SMC3 heterodimer attached via their hinge domain, RAD21 which link them, and one STAG protein (STAG1, STAG2 or STAG3), which interacts with RAD21. Also found in meiosis-specific cohesin complexes. Interacts with MXI1, MXD3 and MXD4. Interacts with RPGR (By similarity). Interacts (via central hinge region) with KIAA1328 (via N- and C-terminal domains) (By similarity). {ECO:0000250, ECO:0000250|UniProtKB:Q9UQE7}.
Q6ZPY2	Smg5 Est1b Kiaa1089	SUBUNIT: Interacts with TERT, PPP2CA and SMG1. Part of a complex that contains SMG1, SMG5, SMG7, PPP2CA, a short isoform of UPF3A (isoform UPF3AS, but not isoform UPF3AL) and phosphorylated UPF1. Not detected in complexes that contain unphosphorylated UPF1.
Q8VE18	Smg8	SUBUNIT: Component of the SMG1C complex composed of SMG1, SMG8 and SMG9; the recruitment of SMG8 to SMG1 N-terminus induces a large conformational change in the SMG1 C-terminal head domain containing the catalytic domain. Forms heterodimers with SMG9; this assembly form may represent a SMG1C intermediate form (By similarity). {ECO:0000250}.
Q6JHY2	Muc19 Smgc	
P97801	Smn1 Smn	SUBUNIT: Homodimer. Part of the core SMN complex that contains SMN1, GEMIN2/SIP1, DDX20/GEMIN3, GEMIN4, GEMIN5, GEMIN6, GEMIN7, GEMIN8 and STRAP/UNRIP. Part of the SMN-Sm complex that contains SMN1, GEMIN2/SIP1, DDX20/GEMIN3, GEMIN4, GEMIN5, GEMIN6, GEMIN7, GEMIN8, STRAP/UNRIP and the Sm proteins SNRPB, SNRPD1, SNRPD2, SNRPD3, SNRPE, SNRPF and SNRPG. Component of an import snRNP complex composed of KPNB1, RNUT1, SMN1 and ZNF259. Interacts with DDX20, FBL, NOLA1, RNUT1 and with several spliceosomal snRNP core Sm proteins, including SNRPB, SNRPD1, SNRPD2, SNRPD3, SNRPE and ILF3. Interacts with OSTF1, LSM10, LSM11 and RPP20/POP7. Interacts (via C-terminal region) with ZPR1 (via C-terminal region). Interacts (via Tudor domain) with COIL. Interacts with SETX; recruits SETX to POLR2A. Interacts with POLR2A (via the C-terminal domain (CTD)). Interacts with PRMT5. Interacts with XRN2. Interacts (via C-terminus) with FMR1 (via C-terminus); the interaction is direct and occurs in a RNA-independent manner (By similarity). Interacts with SYNCRIP (PubMed:11773003). {ECO:0000250|UniProtKB:Q16637, ECO:0000269|PubMed:11773003}.
Q8BLY1	Smoc1 Srg	
Q99K82	Smox Smo	
Q9DC77	Smpx Csl	
Q6PDG5	Smarcc2 Baf170	SUBUNIT: Component of a number of multiprotein chromatin-remodeling complexes: Swi/Snf-A (BAF), Swi/Snf-B (PBAF), Brm, Brg1(I) and Brg1(II). Each of the complexes contains a catalytic subunit (either SMARCA4 or SMARCA2), and at least SMARCE1, ACTL6A/BAF53A or ACTL6B/BAF53B, SMARCC1 and SMARCB1. Other subunits specific to each of the complexes may also be present. Component of the BAF complex, which includes at least actin (ACTB), ARID1A, ARID1B/BAF250, SMARCA2, SMARCA4/BRG1, ACTL6A/BAF53, ACTL6B/BAF53B, SMARCE1/BAF57, SMARCC1/BAF155, SMARCC2/BAF170, SMARCB1/SNF5/INI1, and one or more of SMARCD1/BAF60A, SMARCD2/BAF60B, or SMARCD3/BAF60C. In muscle cells, the BAF complex also contains DPF3. May also interact with the SIN3A histone deacetylase transcription repressor complex in conjunction with SMARCA2 and SMARCA4. Interacts with SMARD1 (By similarity). Component of neural progenitors-specific chromatin remodeling complex (npBAF complex) composed of at least, ARID1A/BAF250A or ARID1B/BAF250B, SMARCD1/BAF60A, SMARCD3/BAF60C, SMARCA2/BRM/BAF190B, SMARCA4/BRG1/BAF190A, SMARCB1/BAF47, SMARCC1/BAF155, SMARCE1/BAF57, SMARCC2/BAF170, PHF10/BAF45A, ACTL6A/BAF53A and actin. Component of neuron-specific chromatin remodeling complex (nBAF complex) composed of at least, ARID1A/BAF250A or ARID1B/BAF250B, SMARCD1/BAF60A, SMARCD3/BAF60C, SMARCA2/BRM/BAF190B, SMARCA4/BRG1/BAF190A, SMARCB1/BAF47, SMARCC1/BAF155, SMARCE1/BAF57, SMARCC2/BAF170, DPF1/BAF45B, DPF3/BAF45C, ACTL6B/BAF53B and actin. {ECO:0000250, ECO:0000269|PubMed:17640523}.
Q61466	Smarcd1 Baf60a D15Kz1	SUBUNIT: Component of the BAF complex, which includes at least actin (ACTB), ARID1A, ARID1B/BAF250, SMARCA2, SMARCA4/BRG1/BAF190A, ACTL6A/BAF53, ACTL6B/BAF53B, SMARCE1/BAF57, SMARCC1/BAF155, SMARCC2/BAF170, SMARCB1/SNF5/INI1, and one or more of SMARCD1/BAF60A, SMARCD2/BAF60B, or SMARCD3/BAF60C. In muscle cells, the BAF complex also contains DPF3. Specifically interacts with the VDR heterodimer complex. Interacts with ESR1, NR3C1, NR1H4, PGR, SMARCA4, SMARCC1 and SMARCC2 (By similarity). Component of neural progenitors-specific chromatin remodeling complex (npBAF complex) composed of at least, ARID1A/BAF250A or ARID1B/BAF250B, SMARCD1/BAF60A, SMARCD3/BAF60C, SMARCA2/BRM/BAF190B, SMARCA4/BRG1/BAF190A, SMARCB1/BAF47, SMARCC1/BAF155, SMARCE1/BAF57, SMARCC2/BAF170, PHF10/BAF45A, ACTL6A/BAF53A and actin. Component of neuron-specific chromatin remodeling complex (nBAF complex) composed of at least, ARID1A/BAF250A or ARID1B/BAF250B, SMARCD1/BAF60A, SMARCD3/BAF60C, SMARCA2/BRM/BAF190B, SMARCA4/BRG1/BAF190A, SMARCB1/BAF47, SMARCC1/BAF155, SMARCE1/BAF57, SMARCC2/BAF170, DPF1/BAF45B, DPF3/BAF45C, ACTL6B/BAF53B and actin. {ECO:0000250, ECO:0000269|PubMed:17640523, ECO:0000269|PubMed:8804307, ECO:0000269|PubMed:8895581}.
P97469	Snai2 Slug Slugh	SUBUNIT: Interacts (via SNAG domain) with LIMD1 (via LIM domains), WTIP (via LIM domains) and AJUBA (via LIM domains). Interacts (via zinc fingers) with KPNA2, KPNB1, and TNPO1. May interact (via zinc fingers) with IPO7 (By similarity). {ECO:0000250}.
O55100	Syngr1	
O70492	Snx3	SUBUNIT: Interacts with VPS26A, VPS29 (By similarity). Interacts with VPS35; the interaction with VPS35 is direct (PubMed:23416069). The association with the retromer CSC subcomplex subunits is proposed to represent a functional distinct retromer variant described as SNX3-retromer complex (By similarity). Interacts with USP10 and SCNN1A (PubMed:18632802). Interacts with TRFC (PubMed:23416069). Interacts with SNX8; 2 molecules of SNX8 seems to associate with one molecule of SNX3. Interacts with PTPRU (By similarity). {ECO:0000250|UniProtKB:O60493, ECO:0000269|PubMed:18632802, ECO:0000269|PubMed:23416069}.
P06880	Gh1 Gh	
P53783	Sox1 Sox-1	
Q06831	Sox4 Sox-4	SUBUNIT: Interacts with UBE2I. {ECO:0000250}.
Q9D826	Pipox Pso	SUBUNIT: Monomer. {ECO:0000250}.
Q920B9	Supt16h Fact140 Factp140 Supt16	SUBUNIT: Component of the FACT complex, a stable heterodimer of SSRP1 and SUPT16H. Also component of a CK2-SPT16-SSRP1 complex which forms following UV irradiation, composed of SSRP1, SUPT16H, CSNK2A1, CSNK2A2 and CSNK2B. Interacts with NEK9. Binds to histone H2A-H2B. Interacts with GTF2E2 (By similarity). Interacts with MYOG (via C-terminal region). {ECO:0000250, ECO:0000269|PubMed:23364797}.
Q9D2H6	Sp2 Kiaa0048	
Q62445	Sp4	
Q9JHX2	Sp5	
Q64HY3	Sp9	
Q5I2A0	Serpina3g Spi2A	
Q9D2S4	Spaca7	
Q80ZX8	Spag1 Tpis	
Q7TNE3	Spag7	
Q8K1N4	Spats2 Scr59	
Q80VP2	Spata7	SUBUNIT: Interacts with RPGRIP1 (PubMed:25398945). Found in a complex with C21orf2, NEK1 and SPATA7 (By similarity). Interacts with NEK1 (By similarity). {ECO:0000250|UniProtKB:Q9P0W8, ECO:0000269|PubMed:25398945}.
Q8K4Z5	Sf3a1	SUBUNIT: Identified in the spliceosome C complex (By similarity). Component of splicing factor SF3A which is composed of three subunits; SF3A3/SAP61, SF3A2/SAP62, SF3A1/SAP114. SF3A associates with the splicing factor SF3B and a 12S RNA unit to form the U2 small nuclear ribonucleoproteins complex (U2 snRNP). Interacts with SF3A3 (By similarity). {ECO:0000250}.
Q921M3	Sf3b3 Kiaa0017	SUBUNIT: Identified in the spliceosome C complex. Component of the U11/U12 snRNPs that are part of the U12-type spliceosome. Component of splicing factor SF3B complex which is composed of at least eight subunits; SF3B1, SF3B2, SF3B3, SF3B4, SF3B5, SF3B6, PHF5A/SF3B14B, and DDX42/SF3B125. SF3B associates with the splicing factor SF3A and a 12S RNA unit to form the U2 small nuclear ribonucleoproteins complex (U2 snRNP). Interaction between SF3B3 and SF3B1 is tighter than the interaction between SF3B3 and SF3B2. Associates with the STAGA transcription coactivator-HAT complex. Interacts with SUPT3H (By similarity). {ECO:0000250}.
Q5U4C3	Scaf1 Sfrs19	SUBUNIT: Interacts with POLR2A. {ECO:0000250}.
P97401	Frzb Fiz Fre Frzb1 Sfrp3	SUBUNIT: Interacts with MYOC. {ECO:0000269|PubMed:19188438}.
Q8C4U3	Sfrp1	SUBUNIT: Interacts with WNT8, WNT1, WNT2, WNT4 and FRZD6 (By similarity). Interacts with MYOC. {ECO:0000250, ECO:0000269|PubMed:10640709, ECO:0000269|PubMed:19188438}.
P35242	Sftpa1 Sftp-1 Sftp1 Sftpa	SUBUNIT: Oligomeric complex of 6 set of homotrimers.
P50404	Sftpd Sftp4	SUBUNIT: Oligomeric complex of 4 set of homotrimers.
Q925N1	Sfxn4	
Q925N0	Sfxn5	
P82347	Sgcd	SUBUNIT: Interacts with FLNC (By similarity). Cross-link to form 2 major subcomplexes: one consisting of SGCB, SGCD and SGCG and the other consisting of SGCB and SGCD. The association between SGCB and SGCG is particularly strong while SGCA is loosely associated with the other sarcoglycans. Interacts with DAG1. {ECO:0000250, ECO:0000269|PubMed:9864373}.
P82348	Sgcg	SUBUNIT: Interacts with the syntrophin SNTA1 and FLNC. Cross-link to form 2 major subcomplexes: one consisting of SGCB, SGCD and SGCG and the other consisting of SGCB and SGCD. The association between SGCB and SGCG is particularly strong while SGCA is loosely associated with the other sarcoglycans. {ECO:0000269|PubMed:7547961, ECO:0000269|PubMed:9864373}.
Q8VD37	Sgip1	SUBUNIT: Interacts with proteins essential or regulating the formation of functional clathrin-coated pits (By similarity). Interacts with CANX. Interacts with AP2A1. Interacts with EPS15. Interacts with SH3GL3 (By similarity). Interacts with AMPH (By similarity). Interacts with ITSN1 (via SH3 domains) (By similarity). Interacts with and REPS1 (By similarity). {ECO:0000250}.
Q9WVC6	Sgk1 Sgk	SUBUNIT: Homodimer; disulfide-linked. Interacts with MAPK3/ERK1, MAPK1/ERK2, MAP2K1/MEK1, MAP2K2/MEK2, NEDD4, NEDD4L, MAPT/TAU, MAPK7, CREB1, SLC9A3R2/NHERF2 and KCNJ1/ROMK1 (By similarity). Forms a trimeric complex with FBXW7 and NOTCH1 Associates with the mammalian target of rapamycin complex 2 (mTORC2) via an interaction with MAPKAP1/SIN1. {ECO:0000250, ECO:0000269|PubMed:21147854, ECO:0000269|PubMed:21757730}.
Q7TSY8	Sgo2 Sgol2 Sgol2a	SUBUNIT: Interacts with PPP2CA. Part of an astrin (SPAG5)-kinastrin (SKAP) complex containing KNSTRN, SPAG5, PLK1, DYNLL1 and SGO2 (By similarity). {ECO:0000250}.
Q810K3	Sgpp2	
Q8VD33	Sgtb	SUBUNIT: Homooligomerize. {ECO:0000250}.
